SPDX,Name,FullName,Url
CC0-1.0,CC0 1.0,Creative Commons Zero v1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/
CC-BY-4.0,CC BY 4.0,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/
CC-BY-SA-4.0,CC BY-SA 4.0,Creative Commons Attribution Share Alike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/
CC-BY-NC-4.0,CC BY-NC,Creative Commons Attribution Non Commercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/
CC-BY-NC-SA-4.0,CC BY-NC-SA,Creative Commons Attribution Non Commercial Share Alike 4.0 International,https://creativecommons.org/licenses/by-nc-sa/4.0/
CC-BY-NC-ND-4.0,CC BY-NC-ND,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,https://creativecommons.org/licenses/by-nc-nd/4.0/
GPL-3.0-or-later,GPL3 or later,GNU General Public License v3.0 or later,https://www.gnu.org/licenses/gpl-3.0
AGPL-3.0-or-later,AGPL3 or later,GNU Affero General Public License v3.0 or later,https://www.gnu.org/licenses/agpl-3.0.html
LGPL-3.0-or-later,LGPL3 or later,GNU Lesser General Public License v3.0 or later,https://www.gnu.org/licenses/lgpl-3.0
MIT,MIT,MIT License,https://opensource.org/license/mit